編號,重劃區名稱,鄉鎮市區,地段,地號,土地面積(m2),使用分區,縣市,coordinate,id
1,中路重劃區,桃園區,中路二段,101,4316.15,住宅區,桃園市,"25.000471658160546,121.29036605358648",1
1,中路重劃區,桃園區,中路二段,103,1532.84,住宅區,桃園市,"25.00014348654776,121.29020914435272",2
3,中正五街重劃區,桃園區,長安段,1,1126.0,住宅區,桃園市,"25.004988182855268,121.30166485906102",3
3,中正五街重劃區,桃園區,長安段,10,121.0,住宅區,桃園市,"25.00480708750904,121.30133762956385",4
3,中正五街重劃區,桃園區,長安段,13,890.0,住宅區,桃園市,"25.005087845950968,121.30137786268894",5
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-1,740.0,住宅區,桃園市,"25.00516806253114,121.30114451050764",6
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-199,46.0,住宅區,桃園市,"25.00514618528704,121.3009701669146",7
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-200,108.0,住宅區,桃園市,"25.00508419974163,121.30095273255527",8
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-151,178.0,住宅區,桃園市,"25.0050453068349,121.3018700480431",9
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-177,128.0,道路,桃園市,"25.00509635377257,121.30183920264508",10
4,大竹市地重劃,蘆竹區,大新段,106,464.64,住宅區,桃園市,"25.01774440193183,121.26254618167606",11
4,大竹市地重劃,蘆竹區,大新段,116,356.35,住宅區,桃園市,"25.01767026995952,121.26219213009249",12
4,大竹市地重劃,蘆竹區,大新段,118,322.12,住宅區,桃園市,"25.0176253046431,121.26190781592813",13
4,大竹市地重劃,蘆竹區,大新段,160,516.24,住宅區,桃園市,"25.017716450537872,121.2615698576",14
4,大竹市地重劃,蘆竹區,大新段,161,254.11,住宅區,桃園市,"25.01757304763241,121.26156046986388",15
4,大竹市地重劃,蘆竹區,大新段,163,244.68,住宅區,桃園市,"25.017534158679847,121.2613137066349",16
6,大湳市地重劃,八德區,大福段,597,216.88,住宅區,桃園市,"24.972514372294818,121.29762679339258",17
6,大湳市地重劃,八德區,大福段,602,522.85,商業區,桃園市,"24.971927175618664,121.29822090268584",18
6,大湳市地重劃,八德區,大福段,625,609.87,住宅區,桃園市,"24.97002895272029,121.29685511944416",19
7,高鐵桃園站特區,中壢區,青平段,25,3882.49,商業區,桃園市,"25.01058742196951,121.2142892181855",20
7,高鐵桃園站特區,中壢區,青平段,26,4001.53,商業區,桃園市,"25.01015961848116,121.21455341577382",21
7,高鐵桃園站特區,中壢區,青平段,48,3780.54,商業區,桃園市,"25.008400990185876,121.21631026268",22
7,高鐵桃園站特區,中壢區,青平段,51,3816.93,商業區,桃園市,"25.00804853228064,121.21595621109644",23
7,高鐵桃園站特區,中壢區,青平段,364,6368.27,商業區,桃園市,"25.00725489060657,121.217431426055",24
7,高鐵桃園站特區,中壢區,青昇段,426,4421.47,商業區,桃園市,"25.01130204492959,121.2200760841369",25
7,高鐵桃園站特區,中壢區,青昇段,429,4452.51,商業區,桃園市,"25.01177602725258,121.2195101380429",26
8,航空貨運暨客運區重劃區,大園區,客運一段,11,2200.48,商業區,桃園市,"25.06154248959251,121.17671012878084",27
8,航空貨運暨客運區重劃區,大園區,客運一段,62,16161.24,商業區,桃園市,"25.05688468927438,121.1741083860318",28
8,航空貨運暨客運區重劃區,大園區,客運一段,72,3451.95,商業區,桃園市,"25.059064182823505,121.17894709110638",29
9,埔頂市地重劃區,大溪區,仁武段,3,875.72,住宅區,桃園市,"24.89675261122743,121.28430023789518",30
9,埔頂市地重劃區,大溪區,仁武段,5,836.4,住宅區,桃園市,"24.89660420145409,121.28453090786876",31
9,埔頂市地重劃區,大溪區,仁武段,8,3049.03,住宅區,桃園市,"24.896055570335403,121.28386572002545",32
9,埔頂市地重劃區,大溪區,仁武段,15,195.02,住宅區,桃園市,"24.8965555424736,121.2832260131916",33
9,埔頂市地重劃區,大溪區,仁武段,16,202.14,住宅區,桃園市,"24.89652878002567,121.28347545861938",34
9,埔頂市地重劃區,大溪區,仁武段,18,552.76,住宅區,桃園市,"24.896665025153556,121.2834955751864",35
9,埔頂市地重劃區,大溪區,仁武段,39,190.78,住宅區,桃園市,"24.89649715167136,121.28290414810093",36
9,埔頂市地重劃區,大溪區,仁武段,41,198.58,住宅區,桃園市,"24.89640469951039,121.28267079591062",37
10,新屋中華市地重劃區,新屋區,中華段,353,4296.47,農業區、住宅區,桃園市,"24.970819872549026,121.10767192139926",38
10,新屋中華市地重劃區,新屋區,中華段,363,1210.07,住宅區,桃園市,"24.971074945226945,121.10627666115424",39
10,新屋中華市地重劃區,新屋區,中華段,364,2249.62,住宅區,桃園市,"24.971284052232598,121.10662803053006",40
10,新屋中華市地重劃區,新屋區,中華段,388,1536.94,住宅區,桃園市,"24.97078924612897,121.10684528947392",41
10,新屋中華市地重劃區,新屋區,中華段,389,1909.66,住宅區,桃園市,"24.970630216657792,121.10658294453512",42
11,變更中壢主要計畫案,新屋區,新洲段,1214,1081.47,住宅區,桃園市,"24.961640445559524,121.14249989390768",43
12,大潭塘背,觀音區,大潭段塘背小段,1613,2008.89,鄉村區乙種建築用地,桃園市,"25.025860974493927,121.0706260800321",44
12,大潭塘背,觀音區,大潭段塘背小段,1647,575.16,鄉村區乙種建築用地,桃園市,"25.02725236776107,121.07048258185505",45
7,高鐵桃園站特區,中壢區,青平段,417,3227.66,商業區,桃園市,"25.00649284392807,121.21542379260818",46
